School,school_original,CountyReport,Number_of_Total_Cases,ReportDate,
Greensboro Elementary School,Greensboro Elementary School,Caroline,10,10/29/2020,14:00:00+00
Archbishop Neale School,Archbishiop Neale School,Charles,4,10/29/2020,14:00:00+00
Brunswick Middle School,Brunswick Middle School,Frederick,3,10/29/2020,14:00:00+00
Annapolis Area Christian School - Upper School,Annapolis Area Christian School - Upper School,Anne Arundel,2,10/29/2020,14:00:00+00
Beth Tfiloh Dahan Community School,Beth Tfiloh Dahan Community School,Baltimore,5,10/29/2020,14:00:00+00
Worcester Preparatory School,Worcester Preparatory School,Worcester,3,10/29/2020,14:00:00+00
Garrison Forrest Elementary,Garrison Forrest Elementary,Baltimore,3,10/29/2020,14:00:00+00
Route 40 Elementary School,Route 40 Elementary,Garrett,2,10/29/2020,14:00:00+00
Eastern Elementary School,Eastern Elementary School,Washington,2,10/29/2020,14:00:00+00
Clear Springs High School,Clear Springs High School,Washington,2,10/29/2020,14:00:00+00
Greensboro Elementary School,Greensboro Elementary School,Caroline,12,11/5/2020,15:00:00+00
Archbishop Neale School,Archbishop Neale Elementary School,Charles,12,11/5/2020,15:00:00+00
Worcester Preparatory School,Worcester Preparatory School,Worcester,3,11/5/2020,15:00:00+00
Route 40 Elementary School,Route 40 Elementary,Garrett,2,11/5/2020,15:00:00+00
Clear Springs High School,Clear Spring High,Washington,2,11/5/2020,15:00:00+00
Gerstell Academy,Gerstell Academy,Carroll,3,11/5/2020,15:00:00+00
Greenwood Elementary School,Greenwood Elementary,Somerset,2,11/5/2020,15:00:00+00
Glenelg Country School,Glenelg Country School,Howard,4,11/5/2020,15:00:00+00
Emmanuel Lutheran School,Emmanuel Lutheran School,Baltimore,5,11/5/2020,15:00:00+00
Manor Woods Elementary,Manor Woods Elementary,Howard,2,11/5/2020,15:00:00+00
Cedar Ridge School,Cedar Ridge School,Washington,2,11/5/2020,15:00:00+00
Carter G.  Woodson Elementary School,Carter G Woodson Elementary,Somerset,3,11/5/2020,15:00:00+00
St. Andrew's Episcopal School,St. Andrew's Episcopal School,Montgomery,2,11/5/2020,15:00:00+00
Route 40 Elementary School,Route 40 Elementary,Garrett,2,11/11/2020,15:00:00+00
Gerstell Academy,Gerstell Academy,Carroll,3,11/11/2020,15:00:00+00
Greenwood Elementary School,Greenwood Elementary,Somerset,2,11/11/2020,15:00:00+00
Glenelg Country School,Glenelg Country School,Howard,8,11/11/2020,15:00:00+00
Emmanuel Lutheran School,Emmanuel Lutheran School,Baltimore,5,11/11/2020,15:00:00+00
Manor Woods Elementary,Manor Woods Elementary,Howard,2,11/11/2020,15:00:00+00
Cedar Ridge School,Cedar Ridge School,Washington,4,11/11/2020,15:00:00+00
Woodson Elementary School,Woodson Elementary School,Somerset,3,11/11/2020,15:00:00+00
St. Andrew's Episcopal School,St. Andrew's Episcopal School,Montgomery,2,11/11/2020,15:00:00+00
St. Elizabeth School,St. Elizabeth School,Montgomery,2,11/11/2020,15:00:00+00
Grace Academy,Grace Academy,Washington,14,11/11/2020,15:00:00+00
Robert Moton Elementary,Robert Moton Elementary,Carroll,2,11/11/2020,15:00:00+00
Seaside Christian Academy,Seaside Christian Academy,Worcester,2,11/11/2020,15:00:00+00
McDonogh School,McDonough School,Baltimore,2,11/11/2020,15:00:00+00
St. Mark School,St. Mark's School,Baltimore,7,11/11/2020,15:00:00+00
Pangborn Elementary,Pangborn Elementary,Washington,4,11/11/2020,15:00:00+00
St. Agnes Catholic School,St. Agnes Catholic School,Baltimore,2,11/11/2020,15:00:00+00
North Point High School,North Point High School,Charles,2,11/11/2020,15:00:00+00
Joppatowne Elementary School,Joppatowne Elementary School,Harford,6,11/11/2020,15:00:00+00
Monsignor Slade Catholic School,Monsignor Slade Catholic School,Anne Arundel,3,11/11/2020,15:00:00+00
Windy Hill Elementary School,Windy Hill Elementary School,Calvert,2,11/11/2020,15:00:00+00
Truth Christian Academy,Truth Christian Academy,Washington,2,11/11/2020,15:00:00+00
Hagerstown High School,Hagerstown High School,Washington,3,11/11/2020,15:00:00+00
Living Hope Christian School,Living Hope Christian School,Somerset,2,11/11/2020,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,2,11/11/2020,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph,Baltimore City,2,11/11/2020,15:00:00+00
Gerstell Academy,Gerstell Academy,Carroll,3,11/18/2020,15:00:00+00
Glenelg Country School,Glenelg Country School,Howard,7,11/18/2020,15:00:00+00
Manor Woods Elementary,Manor Woods Elementary,Howard,2,11/18/2020,15:00:00+00
Cedar Ridge School,Cedar Ridge School,Washington,4,11/18/2020,15:00:00+00
Woodson Elementary School,Woodson Elementary School,Somerset,5,11/18/2020,15:00:00+00
St. Andrew's Episcopal School,St. Andrew's Episcopal School,Montgomery,2,11/18/2020,15:00:00+00
St. Elizabeth School,St. Elizabeth School,Montgomery,2,11/18/2020,15:00:00+00
Grace Academy,Grace Academy,Washington,16,11/18/2020,15:00:00+00
Robert Moton Elementary,Robert Moton Elementary,Carroll,2,11/18/2020,15:00:00+00
Seaside Christian Academy,Seaside Christian Academy,Worcester,2,11/18/2020,15:00:00+00
McDonogh School,McDonough School,Baltimore,4,11/18/2020,15:00:00+00
St. Mark School,St. Mark's School,Baltimore,8,11/18/2020,15:00:00+00
Pangborn Elementary,Pangborn Elementary,Washington,4,11/18/2020,15:00:00+00
St. Agnes Catholic School,Saint Agnes Catholic School,Baltimore,2,11/18/2020,15:00:00+00
North Point High School,North Point High School,Charles,2,11/18/2020,15:00:00+00
Joppatowne Elementary School,Joppatowne Elementary School,Harford,6,11/18/2020,15:00:00+00
Monsignor Slade Catholic School,Monsignor Slade Catholic School,Anne Arundel,4,11/18/2020,15:00:00+00
Windy Hill Elementary School,Windy Hill Elementary School,Calvert,2,11/18/2020,15:00:00+00
Truth Christian Academy,Truth Christian Academy,Washington,3,11/18/2020,15:00:00+00
South Hagerstown High School,South Hagerstown High School,Washington,3,11/18/2020,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,2,11/18/2020,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph,Baltimore City,2,11/18/2020,15:00:00+00
Bullis School,Bullis School,Montgomery,8,11/18/2020,15:00:00+00
James M. Bennett High School,James M. Bennett High,Wicomico,2,11/18/2020,15:00:00+00
Bais Yaakov School for Girls,Bais Yaakov School for Girls,Baltimore,2,11/18/2020,15:00:00+00
DeMatha Catholic High School,DeMatha Catholic High School,Prince George's,3,11/18/2020,15:00:00+00
St. Joseph's School,St. Joseph's School,Baltimore,2,11/18/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,4,11/18/2020,15:00:00+00
Delmar Elementary School,Delmar Elementary School,Wicomico,4,11/18/2020,15:00:00+00
The Heights School,The Heights School,Montgomery,4,11/18/2020,15:00:00+00
Yough Glades Elementary School,Yough Glades Elementary,Garrett,3,11/18/2020,15:00:00+00
Broadfording Christian Academy,Broadfording Christian Academy,Washington,4,11/18/2020,15:00:00+00
Open Bible Christian Academy,Open Bible Christian Academy,Baltimore,3,11/18/2020,15:00:00+00
The Harbour School at Baltimore,The Harbour School at Baltimore,Baltimore,2,11/18/2020,15:00:00+00
Gerstell Academy,Gerstell Academy,Carroll,3,11/18/2020,15:00:00+00
Glenelg Country School,Glenelg Country School,Howard,7,11/18/2020,15:00:00+00
Manor Woods Elementary,Manor Woods Elementary,Howard,2,11/18/2020,15:00:00+00
Cedar Ridge School,Cedar Ridge School,Washington,4,11/18/2020,15:00:00+00
Woodson Elementary School,Woodson Elementary School,Somerset,5,11/18/2020,15:00:00+00
St. Andrew's Episcopal School,St. Andrew's Episcopal School,Montgomery,2,11/18/2020,15:00:00+00
St. Elizabeth School,St. Elizabeth School,Montgomery,2,11/18/2020,15:00:00+00
Grace Academy,Grace Academy,Washington,16,11/18/2020,15:00:00+00
Robert Moton Elementary,Robert Moton Elementary,Carroll,2,11/18/2020,15:00:00+00
Seaside Christian Academy,Seaside Christian Academy,Worcester,2,11/18/2020,15:00:00+00
McDonogh School,McDonough School,Baltimore,4,11/18/2020,15:00:00+00
St. Mark School,St. Mark's School,Baltimore,8,11/18/2020,15:00:00+00
Pangborn Elementary,Pangborn Elementary,Washington,4,11/18/2020,15:00:00+00
St. Agnes Catholic School,Saint Agnes Catholic School,Baltimore,2,11/18/2020,15:00:00+00
North Point High School,North Point High School,Charles,2,11/18/2020,15:00:00+00
Joppatowne Elementary School,Joppatowne Elementary School,Harford,6,11/18/2020,15:00:00+00
Monsignor Slade Catholic School,Monsignor Slade Catholic School,Anne Arundel,4,11/18/2020,15:00:00+00
Windy Hill Elementary School,Windy Hill Elementary School,Calvert,2,11/18/2020,15:00:00+00
Truth Christian Academy,Truth Christian Academy,Washington,3,11/18/2020,15:00:00+00
South Hagerstown High School,South Hagerstown High School,Washington,3,11/18/2020,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,2,11/18/2020,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph,Baltimore City,2,11/18/2020,15:00:00+00
Bullis School,Bullis School,Montgomery,8,11/18/2020,15:00:00+00
James M. Bennett High School,James M. Bennett High,Wicomico,2,11/18/2020,15:00:00+00
Bais Yaakov School for Girls,Bais Yaakov School for Girls,Baltimore,2,11/18/2020,15:00:00+00
DeMatha Catholic High School,DeMatha Catholic High School,Prince George's,3,11/18/2020,15:00:00+00
St. Joseph's School,St. Joseph's School,Baltimore,2,11/18/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,4,11/18/2020,15:00:00+00
Delmar Elementary School,Delmar Elementary School,Wicomico,4,11/18/2020,15:00:00+00
The Heights School,The Heights School,Montgomery,4,11/18/2020,15:00:00+00
Yough Glades Elementary School,Yough Glades Elementary,Garrett,3,11/18/2020,15:00:00+00
Broadfording Christian Academy,Broadfording Christian Academy,Washington,4,11/18/2020,15:00:00+00
Open Bible Christian Academy,Open Bible Christian Academy,Baltimore,3,11/18/2020,15:00:00+00
The Harbour School at Baltimore,The Harbour School at Baltimore,Baltimore,2,11/18/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,3,11/25/2020,15:00:00+00
Broadfording Christian Academy,Broadfording Christian Academy,Washington,5,11/25/2020,15:00:00+00
Bullis School,Bullis School,Montgomery,10,11/25/2020,15:00:00+00
Delmar Elementary School,Delmar Elementary School,Wicomico,4,11/25/2020,15:00:00+00
Frederick Christian Academy,Frederick Christian Academy,Frederick,6,11/25/2020,15:00:00+00
Glenelg Country School,Glenelg Country School,Howard,10,11/25/2020,15:00:00+00
Grace Academy,Grace Academy,Washington,17,11/25/2020,15:00:00+00
Immaculate Heart of Mary School,Immaculate Heart of Mary School,Baltimore,2,11/25/2020,15:00:00+00
James M. Bennett High School,James M. Bennett High,Wicomico,2,11/25/2020,15:00:00+00
John Archer School,John Archer School,Harford,3,11/25/2020,15:00:00+00
McDonogh School,McDonough School,Baltimore,5,11/25/2020,15:00:00+00
Mesivta Kesser Torah of Baltimore,Mesivta Kesser Torah of Baltimore,Baltimore,2,11/25/2020,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph,Baltimore City,6,11/25/2020,15:00:00+00
Open Bible Christian Academy,Open Bible Christian Academy,Baltimore,5,11/25/2020,15:00:00+00
Roland Park Country School,Roland Park Country School,Baltimore City,4,11/25/2020,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,2,11/25/2020,15:00:00+00
Running Brook Elementary School,Running Brook Elementary,Howard,2,11/25/2020,15:00:00+00
Severn School,Severn School,Anne Arundel,2,11/25/2020,15:00:00+00
St. Jerome's School,St. Jerome's School,Prince George's,2,11/25/2020,15:00:00+00
St. Joseph's School,St. Joseph's School,Baltimore,4,11/25/2020,15:00:00+00
St. Mark School,St. Mark's School,Baltimore,7,11/25/2020,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,2,11/25/2020,15:00:00+00
The Harbour School at Baltimore,The Harbour School at Baltimore,Baltimore,2,11/25/2020,15:00:00+00
The Heights School,The Heights School,Montgomery,4,11/25/2020,15:00:00+00
Torah School of Greater Washington,Torah School of Greater Washington,Montgomery,3,11/25/2020,15:00:00+00
Truth Christian Academy,Truth Christian Academy,Washington,3,11/25/2020,15:00:00+00
Woodson Elementary School,Woodson Elementary School,Somerset,6,11/25/2020,15:00:00+00
Yough Glades Elementary School,Yough Glades Elementary,Garrett,3,11/25/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,4,12/2/2020,15:00:00+00
Broadfording Christian Academy,Broadfording Christian Academy,Washington,5,12/2/2020,15:00:00+00
Bullis School,Bullis School,Montgomery,10,12/2/2020,15:00:00+00
Frederick Christian Academy,Frederick Christian Academy,Frederick,6,12/2/2020,15:00:00+00
Glenelg Country School,Glenelg Country School,Howard,11,12/2/2020,15:00:00+00
Grace Academy,Grace Academy,Washington,19,12/2/2020,15:00:00+00
Heritage Academy,Heritage Academy,Washington,2,12/2/2020,15:00:00+00
John Archer School,John Archer School,Harford,3,12/2/2020,15:00:00+00
McDonogh School,McDonough School,Baltimore,5,12/2/2020,15:00:00+00
Mesivta Kesser Torah of Baltimore,Mesivta Kesser Torah of Baltimore,Baltimore,2,12/2/2020,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph,Baltimore City,6,12/2/2020,15:00:00+00
Open Bible Christian Academy,Open Bible Christian Academy,Baltimore,5,12/2/2020,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,2,12/2/2020,15:00:00+00
Running Brook Elementary School,Running Brook Elementary,Howard,2,12/2/2020,15:00:00+00
St. Joseph's School,St. Joseph's School,Baltimore,4,12/2/2020,15:00:00+00
St. Mark School,St. Mark's School,Baltimore,7,12/2/2020,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,2,12/2/2020,15:00:00+00
The Harbour School at Baltimore,The Harbour School at Baltimore,Baltimore,2,12/2/2020,15:00:00+00
St. Paul's School,St. Paul's School,Baltimore,4,12/2/2020,15:00:00+00
Torah School of Greater Washington,Torah School of Greater Washington,Montgomery,3,12/2/2020,15:00:00+00
Truth Christian Academy,Truth Christian Academy,Washington,3,12/2/2020,15:00:00+00
Woodson Elementary School,Woodson Elementary School,Somerset,6,12/2/2020,15:00:00+00
Broadfording Christian Academy,Broadfording Christian Academy,Washington,5,12/9/2020,15:00:00+00
Glenelg Country School,Glenelg Country School,Howard,12,12/9/2020,15:00:00+00
Grace Academy,Grace Academy,Washington,19,12/9/2020,15:00:00+00
Heritage Academy,Heritage Academy,Washington,2,12/9/2020,15:00:00+00
Living Hope Christian School,Living Hope Christian School,Somerset,3,12/9/2020,15:00:00+00
McDonogh School,McDonough School,Baltimore,5,12/9/2020,15:00:00+00
Mesivta Kesser Torah of Baltimore,Mesivta Kesser Torah of Baltimore - 9th grade,Baltimore,2,12/9/2020,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph,Baltimore City,6,12/9/2020,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,2,12/9/2020,15:00:00+00
St. Paul's School,St. Paul's School,Baltimore,4,12/9/2020,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,2,12/9/2020,15:00:00+00
Torah School of Greater Washington,Torah School of Greater Washington - 10 year olds,Montgomery,3,12/9/2020,15:00:00+00
Woodson Elementary School,Woodson Elementary School,Somerset,6,12/9/2020,15:00:00+00
Yough Glades Elementary School,Yough Glades Elementary,Garrett,3,12/9/2020,15:00:00+00
Broadfording Christian Academy,Broadfording Christian Academy,Washington,5,12/9/2020,15:00:00+00
Glenelg Country School,Glenelg Country School,Howard,12,12/9/2020,15:00:00+00
Grace Academy,Grace Academy,Washington,19,12/9/2020,15:00:00+00
Heritage Academy,Heritage Academy,Washington,2,12/9/2020,15:00:00+00
Living Hope Christian School,Living Hope Christian School,Somerset,3,12/9/2020,15:00:00+00
McDonogh School,McDonough School,Baltimore,5,12/9/2020,15:00:00+00
Mesivta Kesser Torah of Baltimore,Mesivta Kesser Torah of Baltimore - 9th grade,Baltimore,2,12/9/2020,15:00:00+00
Mount Saint Joseph High School,Mount Saint Joseph,Baltimore City,6,12/9/2020,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,2,12/9/2020,15:00:00+00
St. Paul's School,St. Paul's School,Baltimore,4,12/9/2020,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,2,12/9/2020,15:00:00+00
Torah School of Greater Washington,Torah School of Greater Washington - 10 year olds,Montgomery,3,12/9/2020,15:00:00+00
Woodson Elementary School,Woodson Elementary School,Somerset,6,12/9/2020,15:00:00+00
Yough Glades Elementary School,Yough Glades Elementary,Garrett,3,12/9/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,11,12/16/2020,15:00:00+00
Beechfield Elementary/Middle,Beechfield Elementary/Middle,Baltimore City,2,12/16/2020,15:00:00+00
Frederick Christian Academy,Frederick Christian Academy,Frederick,8,12/16/2020,15:00:00+00
Frederick High School,Frederick Highschool,Frederick,2,12/16/2020,15:00:00+00
Glenelg Country School,Glenelg Country School,Howard,12,12/16/2020,15:00:00+00
Heritage Academy,Heritage Academy,Washington,2,12/16/2020,15:00:00+00
Linganore High School,Linganore High School,Frederick,5,12/16/2020,15:00:00+00
Middletown Elementary School,Middletown Elementary School,Frederick,3,12/16/2020,15:00:00+00
Most Blessed Sacrament Catholic School,Most Blessed Sacrament Catholic School,Worcester,2,12/16/2020,15:00:00+00
Mount Aviat Academy,Mount Aviat Academy,Cecil,3,12/16/2020,15:00:00+00
St. Paul's School,St. Paul's School,Baltimore,4,12/16/2020,15:00:00+00
Stephen Decatur High School,Stephen Decatur High School,Worcester,2,12/16/2020,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy,Baltimore,12,12/16/2020,15:00:00+00
The Harbour School at Baltimore,The Harbour School at Baltimore,Baltimore,3,12/16/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,25,12/23/2020,15:00:00+00
Esperanza Middle School,Esperanza Middle School,St. Mary's,3,12/23/2020,15:00:00+00
Fellowship Christian School,Fellowship Christian School,Montgomery,3,12/23/2020,15:00:00+00
Frederick Christian Academy,Frederick Christian Academy,Frederick,10,12/23/2020,15:00:00+00
Heritage Academy,Heritage Academy,Washington,2,12/23/2020,15:00:00+00
Most Blessed Sacrament Catholic School,Most Blessed Sacrament Catholic School,Worcester,3,12/23/2020,15:00:00+00
Mount Aviat Academy,Mount Aviat Academy,Cecil,5,12/23/2020,15:00:00+00
Our Lady of Mt. Carmel,Our Lady of Mt. Carmel,Baltimore,3,12/23/2020,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,3,12/23/2020,15:00:00+00
Severn School,Severn School,Anne Arundel,4,12/23/2020,15:00:00+00
St. Mark School,St. Mark's School,Baltimore,3,12/23/2020,15:00:00+00
St. Mary's School,St. Mary's High School,Anne Arundel,3,12/23/2020,15:00:00+00
St. Paul's School,St. Paul's School,Baltimore,4,12/23/2020,15:00:00+00
Talmudical Academy of Baltimore,Talmudical Academy,Baltimore,13,12/23/2020,15:00:00+00
The Harbour School at Baltimore,The Harbour School at Baltimore,Baltimore,3,12/23/2020,15:00:00+00
West Frederick Middle School,West Frederick Middle School,Frederick,2,12/23/2020,15:00:00+00
Windsor Knolls Middle School,Windsor Knolls Middle School,Frederick,4,12/23/2020,15:00:00+00
Bais Yaakov Eva Winer High School,Bais Yaakov Eva Winer High School,Baltimore,27,12/30/2020,15:00:00+00
College Gardens Elementary,College Gardens Elementary,Montgomery,2,12/30/2020,15:00:00+00
Esperanza Middle School,Esperanza Middle School,St. Mary's,3,12/30/2020,15:00:00+00
Frederick Christian Academy,Frederick Christian Academy,Frederick,10,12/30/2020,15:00:00+00
Heritage Academy,Heritage Academy,Washington,2,12/30/2020,15:00:00+00
Most Blessed Sacrament Catholic School,Most Blessed Sacrament Catholic School,Worcester,3,12/30/2020,15:00:00+00
Mount Aviat Academy,Mount Aviat Academy,Cecil,5,12/30/2020,15:00:00+00
Ohr Chadash Academy of Baltimore,Ohr Chadash Academy,Baltimore City,2,12/30/2020,15:00:00+00
Our Lady of Mt. Carmel,Our Lady of Mt. Carmel,Baltimore,3,12/30/2020,15:00:00+00
Rosedale Baptist School,Rosedale Baptist School,Baltimore,3,12/30/2020,15:00:00+00
Severn School,Severn School,Anne Arundel,4,12/30/2020,15:00:00+00
St. Mark School,St. Mark's School,Baltimore,3,12/30/2020,15:00:00+00
St. Mary's School,St. Mary's High School,Anne Arundel,3,12/30/2020,15:00:00+00
